id,number,par,handicap,distance,courseId,createdAt,updatedAt
1c192a36-d9ae-42d6-a7cd-7cb46f8f6c44,1,4,1,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
574ae3e9-1447-493f-8b67-606221663d12,2,4,2,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
06f9df5c-2223-4646-9c7c-8dc68b38470f,3,4,3,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
a1873fa3-6d20-4f42-801a-32ce7f9ef985,4,4,4,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
4cd8529b-28b4-4772-a0f6-71c3f0e5382a,5,4,5,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
000083de-2c9d-4a62-a4c3-44ae52ba163b,6,4,6,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
7f4b8e10-d7a2-4f0b-9545-6530f46f875b,7,4,7,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
5ad0e607-ebc8-4fad-a316-3b2dfed35998,8,4,8,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
cd7c0957-85b8-4fee-babb-9b122a604daa,9,4,9,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
29f20d30-8c32-4b72-9152-287b632148ee,10,4,10,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
89547b70-999d-44b1-a665-eb698e70992a,11,4,11,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
209670f0-1fda-44de-9ed5-3df05f8f27ea,12,4,12,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
056ccc11-8378-4b2c-b001-7803fe5f3f18,13,4,13,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
e34b9b1f-0fbb-4fa9-95d3-613b9b4de18d,14,4,14,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
5ee5b3fc-7c5f-4186-9eb3-eacd52888bce,15,4,15,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
4c01a1d5-e846-4b88-83ae-ed1cdc8b8254,16,4,16,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
42ba815a-5d5f-4893-b5dd-1682718855b8,17,4,17,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
94475601-5da8-449b-ba0b-31b2f83ddada,18,4,18,350,3cdd5122-d9a4-44e1-a67d-15aeb0da6efe,2025-04-15 02:44:25.726000,2025-04-15 02:44:25.726000
c156366e-9454-4112-b742-84bf9748d521,1,4,1,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
e00d4bf6-b750-4a7e-abba-40fab41d1a8f,2,4,2,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
2a4521a2-67f5-44db-8d10-2ba4e6831e95,3,4,3,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
26293270-3b75-4b7c-aa19-69b1b445db9c,4,4,4,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
9889ddc5-fbe4-4251-82c4-90c2198e8088,5,4,5,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
2d2b6609-2d58-41b6-abb8-b2bb115abe40,6,4,6,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
63e2a21f-2854-4941-bb4d-1ac959651e8e,7,4,7,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
4a9e07d6-abaa-41a5-88c4-b103aa57a9a9,8,4,8,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
2f09237e-d4c5-4c3e-bca2-c3ef206a67dc,9,4,9,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
6bac82a5-c674-4189-84c4-5dda5dfb37a4,10,4,10,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
e482624b-8e9b-49bb-a36c-6db956183e0e,11,4,11,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
02da8de8-580d-43a1-a515-f1706063d7f5,12,4,12,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
2bb0fb5e-655d-44ed-b7c3-aadd676557e2,13,4,13,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
97ecc253-7274-4659-be01-121f7659960e,14,4,14,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
8956d33d-4351-42a6-8458-9b37f5ece335,15,4,15,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
6ade7048-ac6d-4671-949a-790ab4fc2839,16,4,16,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
dff9eb59-52d9-4daf-bf91-1261075978f1,17,4,17,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
b88d1720-411b-45ab-a3dc-cab40ed62799,18,4,18,350,2a1f27a5-86b1-4e81-a6e3-aa274c59fece,2025-04-15 02:44:44.925000,2025-04-15 02:44:44.925000
52e5ad0e-60d1-4036-8163-a64d0afdd7b5,1,4,1,350,a7b5c1d9-2063-4737-a37b-82edca6a1de7,2025-04-15 02:45:09.869000,2025-04-15 02:45:09.869000
840144bf-9dea-4ee9-acd3-2b8364176a14,2,4,2,350,a7b5c1d9-2063-4737-a37b-82edca6a1de7,2025-04-15 02:45:09.869000,2025-04-15 02:45:09.869000
